0,1,2,3,4,5,6,7
,,,,,,,
Ashanti,"175,363","2,320","2,756","5,907","19,045","30,028",17.1%
Western,"603,259","7,048","7,974","12,539","19,586","47,147",7.8%
Brong Ahafo,"130,547",898,"2,436","1,048","11,021","15,403",11.8%
Central,"89,604",523,612,742,"1,867","3,744",4.2%
Eastern,"91,517",513,747,"1,226","2,303","4,788",5.2%
