ObsFarm#,FID0,Xf,Yf,Ecology,Xd,Yd,DistName,DistID,Region,REGION,DistKey,District,pH,SOC,Fe_meq100g,Al_meq100g,Clay
37,1384,-0.667,5.948,MSSE,-0.470140343,5.910008224,Suhum,ER2,Eastern,ER,SUHUM,Suhum,6.23,0.287,0.04,15.4,16.76
38,1181,-1.996,7.466,DSFZ,-1.900377026,7.68534414,Sunyani,BA8,Brong Ahafo,BA,SUNYANI,Sunyani,6.22,0.486,0.041,1.12,18.76
39,1175,-2.094,7.492,DSFZ,-1.900377026,7.68534414,Sunyani,BA8,Brong Ahafo,BA,SUNYANI,Sunyani,6.01,0.768,0.041,1.76,22.76
40,1166,-2.608,6.933,MSNW,-2.622448196,7.072896329,Goaso,BA4,Brong Ahafo,BA,GOASO,Goaso,5.89,0.465,0.041,3.16,26.76
41,1413,-0.822,5.785,MSSE,-0.742503709,5.820003506,Asamankese,ER1,Eastern,ER,ASAMANKESE,Asamankese,5.63,0.256,0.041,5.87,16.76
42,1376,-0.421,6.04,DSIZ,-0.470140343,5.910008224,Suhum,ER2,Eastern,ER,SUHUM,Suhum,5.57,0.128,0.041,12.67,14.76
43,1304,-1.006,5.437,DSIZ,-0.978686053,5.441262108,Asikuma,CR4,Central,CR,ASIKUMA,Asikuma,5.71,0.168,0.041,3.28,6.76
44,1387,-0.441,5.888,DSIZ,-0.470140343,5.910008224,Suhum,ER2,Eastern,ER,SUHUM,Suhum,6.25,0.271,0.042,9.95,16.76
45,1302,-1.046,5.671,MSSE,-0.978686053,5.441262108,Asikuma,CR4,Central,CR,ASIKUMA,Asikuma,6.29,0.176,0.042,2.14,6.76
46,1006,-2.15,6.88,MSNW,-2.029235028,6.950203272,Tepa,AR9,Ashanti,AR,TEPA,Tepa,6.36,0.995,0.042,6.62,24.76
47,1224,-0.936,5.646,MSSE,-0.684977864,5.606130256,Nyakrom,CR2,Central,CR,NYAKROM,Nyarkrom,5.6,0.227,0.042,2.95,10.76
