Variable:,rx5day
,Ghana,Ashanti,"Brong Ahafo",Central,Eastern,"Greater Accra",Northern,"Upper East","Upper West",Volta,Western
2015,86.60,82.81,83.41,94.27,82.30,87.40,90.76,91.93,95.39,81.48,93.19
2016,88.54,81.82,87.30,88.38,79.41,92.14,93.26,93.45,93.79,85.35,86.60
2017,84.98,82.06,83.46,83.07,76.50,82.41,87.58,87.13,88.26,81.95,86.26
2018,89.87,81.01,88.17,81.90,80.54,86.93,97.49,92.98,96.53,85.22,83.97
2019,86.87,81.63,80.40,87.78,83.10,85.70,90.92,94.12,97.92,80.80,86.70
2020,90.09,81.70,89.67,83.02,78.35,83.72,96.18,91.10,99.42,86.22,87.44
2021,89.27,88.96,90.76,85.36,84.42,86.80,91.95,88.86,89.04,87.08,86.23
2022,91.15,87.08,88.03,92.90,83.68,87.79,95.01,95.05,94.87,88.10,92.13
2023,88.62,83.74,91.95,80.12,78.67,86.73,96.35,83.39,88.30,87.68,85.68
2024,94.17,91.32,93.91,86.96,88.74,96.53,97.86,101.02,105.11,91.75,88.59
2025,92.61,86.95,91.15,82.19,81.04,82.40,97.98,101.61,100.30,86.34,92.08
2026,99.22,88.52,95.26,87.70,84.31,89.88,107.74,112.40,110.66,91.75,91.57
2027,90.68,86.00,93.08,78.84,82.32,78.60,91.12,90.62,92.19,92.69,86.42
2028,95.50,85.53,88.88,84.59,83.56,83.14,99.89,108.32,114.91,90.25,89.72
2029,93.63,87.04,86.84,92.74,85.42,92.77,97.32,99.71,104.48,92.13,93.52
2030,85.80,83.68,83.03,88.43,79.77,83.73,85.36,92.45,85.19,82.66,90.87
2031,89.47,85.51,90.20,77.40,77.42,75.50,93.88,94.65,95.61,85.25,85.17
2032,85.61,85.13,84.60,88.42,79.10,81.42,88.23,86.95,96.51,80.44,93.07
2033,90.86,85.06,89.21,83.96,79.89,84.19,98.19,100.41,104.45,82.16,88.01
2034,91.50,86.37,89.28,85.03,85.89,88.40,93.53,96.29,98.27,89.92,88.29
2035,87.45,82.88,87.24,79.26,77.53,79.98,93.06,89.27,90.26,84.01,83.07
2036,92.14,85.69,89.11,92.60,87.88,93.44,97.03,98.75,98.43,87.57,95.08
2037,86.73,80.69,83.58,78.86,73.66,75.73,94.75,93.71,94.43,78.76,81.93
2038,91.89,87.27,89.53,86.77,85.05,87.66,95.08,98.05,92.41,85.26,89.50
2039,93.72,89.68,93.63,89.02,82.62,82.06,98.54,103.64,106.53,86.38,90.46
2040,90.42,82.97,84.85,92.59,82.51,90.28,92.89,106.62,103.85,86.33,92.06
2041,92.28,90.77,91.73,95.00,87.74,95.45,96.62,91.06,95.69,92.93,102.38
2042,92.33,86.24,94.49,95.02,87.99,89.38,96.18,89.79,101.30,90.89,91.84
2043,94.68,87.92,92.85,85.35,81.71,85.44,100.80,104.59,106.08,85.91,90.52
2044,97.64,89.28,96.52,89.90,88.72,91.42,107.49,101.77,99.11,89.78,93.69
2045,89.57,83.71,85.37,82.59,81.76,86.63,91.51,103.28,100.36,86.53,87.66
2046,93.12,88.47,93.60,88.96,86.55,90.06,97.98,99.86,97.96,89.70,90.65
2047,92.26,86.87,93.88,82.10,85.06,80.86,97.50,92.77,96.90,89.09,89.47
2048,89.11,81.70,89.04,87.70,79.92,85.30,92.67,97.24,101.03,82.99,93.68
2049,93.62,81.83,89.21,90.26,84.70,86.37,100.01,102.96,102.32,88.30,87.93
2050,92.15,83.19,87.59,79.05,82.03,85.94,101.12,100.10,100.05,89.42,81.11
2051,90.99,83.62,90.44,85.93,79.59,84.93,98.82,99.64,107.46,83.72,89.05
2052,96.57,88.33,91.71,79.76,83.15,82.35,106.28,104.55,108.98,90.23,86.11
2053,97.01,86.88,93.98,89.54,85.20,83.53,103.29,108.25,119.24,90.11,95.26
2054,94.77,89.01,91.07,88.69,86.79,90.28,98.92,101.86,102.27,91.38,92.24
2055,94.42,85.82,91.52,93.05,87.75,92.52,99.04,95.42,108.62,94.68,91.86
2056,93.15,87.87,92.15,85.46,84.85,83.02,96.95,109.01,101.82,84.16,90.34
2057,92.29,88.32,90.22,85.15,87.24,85.66,94.07,93.31,97.65,92.61,88.54
2058,96.50,93.45,96.89,94.03,90.72,95.68,99.43,95.17,102.23,95.18,94.94
2059,93.94,93.00,97.64,95.30,88.25,95.04,95.46,95.63,91.46,91.58,98.50
2060,93.90,86.42,91.87,85.05,82.92,85.22,101.25,102.76,107.94,86.66,88.84
2061,91.24,86.96,89.84,92.02,83.99,89.44,93.87,94.01,93.30,92.60,96.24
2062,89.98,85.47,89.79,94.40,84.96,92.00,96.15,87.64,94.49,86.13,93.83
2063,96.58,87.18,89.58,97.47,88.78,95.64,105.66,94.94,101.59,94.57,94.37
2064,95.42,89.08,89.10,95.00,87.99,95.37,99.96,108.09,102.50,88.86,99.82
2065,95.40,88.08,97.18,94.24,86.62,93.10,100.68,98.13,99.12,91.95,94.86
2066,90.41,86.05,87.94,82.01,85.77,83.83,93.86,94.15,95.69,88.83,86.53
2067,93.05,90.01,101.29,80.08,84.05,82.19,96.25,90.08,94.71,92.18,83.21
2068,95.01,92.01,97.75,97.12,91.05,95.66,97.18,94.79,96.03,91.32,93.86
2069,92.19,85.76,88.85,85.58,81.72,87.54,95.77,105.17,107.70,87.49,91.40
2070,96.08,86.65,97.32,82.93,82.25,81.66,102.67,109.62,107.53,86.84,88.69
2071,90.75,93.49,92.19,90.87,92.04,90.85,88.88,85.49,87.89,90.44,97.75
2072,89.38,87.22,86.16,86.09,84.33,83.70,90.06,99.72,104.05,88.24,90.00
2073,98.24,95.92,103.59,82.36,87.20,84.82,105.70,100.59,105.69,89.81,92.48
2074,90.84,84.00,88.09,82.80,81.00,83.31,93.52,97.75,97.94,87.10,85.61
2075,91.35,87.70,90.54,89.02,81.26,87.73,96.19,98.24,98.13,85.66,91.71
2076,90.72,92.04,90.63,84.61,87.74,87.18,93.74,91.11,88.03,86.71,91.85
2077,99.65,94.74,101.34,92.70,93.97,87.35,105.77,98.20,97.56,94.28,94.08
2078,89.95,87.43,91.72,85.35,84.34,85.07,92.23,92.72,96.84,81.97,92.47
2079,88.10,82.96,81.51,87.60,86.30,88.61,91.08,92.93,90.51,86.53,87.59
2080,94.40,87.25,88.58,93.64,83.14,88.46,99.87,105.37,101.62,87.74,94.32
2081,88.98,85.80,93.03,85.91,78.13,82.58,91.09,89.73,98.28,85.97,90.03
2082,88.33,84.59,86.26,88.05,85.63,88.36,91.56,90.44,96.71,84.10,93.27
2083,95.54,88.39,94.02,92.36,82.95,91.45,100.64,102.88,103.60,90.38,92.99
