Variable:,cwd
,Ghana,Ashanti,"Brong Ahafo",Central,Eastern,"Greater Accra",Northern,"Upper East","Upper West",Volta,Western
2081,25.48,30.02,29.39,26.85,27.42,25.13,24.78,18.25,21.63,26.37,32.61
2082,24.84,30.63,30.21,25.74,28.49,25.22,22.66,19.03,21.44,26.59,28.80
2083,24.13,29.97,26.75,30.28,25.18,26.48,22.64,20.03,21.00,23.72,28.74
2084,27.54,35.23,32.67,30.05,31.95,25.81,24.94,19.11,22.59,29.54,31.49
2085,24.22,31.08,27.59,30.90,26.79,28.93,21.43,18.90,19.66,25.32,32.30
2086,25.30,32.89,30.85,28.69,27.98,27.62,22.87,19.32,21.50,25.59,30.99
2087,23.02,27.59,27.44,26.73,24.41,22.35,21.20,19.28,18.37,22.49,29.60
2088,24.34,29.77,28.71,29.12,25.45,24.52,23.14,19.84,19.35,24.23,34.79
2089,25.27,29.03,28.14,26.64,27.28,25.00,24.65,18.38,20.00,27.29,28.83
2090,24.17,27.27,28.97,24.68,25.42,27.79,22.93,17.78,19.03,26.18,27.71
2091,25.97,32.97,30.04,29.92,29.75,27.69,24.52,17.45,20.53,26.52,31.95
2092,25.09,32.04,30.07,26.48,31.43,27.22,22.76,18.14,21.92,25.48,28.18
2093,25.95,30.66,31.69,28.57,26.07,24.04,24.39,20.77,20.74,25.18,33.08
2094,25.42,30.64,29.86,28.29,30.14,23.52,23.44,18.58,21.64,26.38,29.07
2095,25.71,34.25,30.56,28.03,29.85,30.82,22.21,19.38,19.29,27.31,35.81
2096,26.77,30.04,32.59,27.98,31.67,23.74,25.30,20.88,23.20,26.90,33.88
2097,25.78,30.53,28.21,29.81,29.45,25.64,23.09,19.45,21.67,28.82,35.01
2098,24.62,28.77,26.64,29.08,26.79,24.35,24.11,18.31,18.42,25.39,32.20
2099,26.11,31.27,30.55,27.65,31.75,30.31,24.77,19.16,21.72,27.27,30.27
2100,25.72,29.60,29.71,27.80,30.88,25.40,23.88,19.45,20.16,25.68,30.84
