Variable:,hi37
,Ghana,Ashanti,"Brong Ahafo",Central,Eastern,"Greater Accra",Northern,"Upper East","Upper West",Volta,Western
2081,68.84,66.25,54.73,76.02,59.54,40.70,70.16,73.44,57.36,77.52,66.14
2082,78.02,67.41,57.33,83.02,66.60,45.37,81.86,92.40,76.50,85.93,72.71
2083,70.25,62.28,51.47,52.64,60.29,24.22,75.47,81.45,61.53,80.73,48.88
2084,51.17,43.65,30.84,47.27,44.00,30.65,54.31,66.76,55.26,58.41,43.86
2085,58.09,48.25,41.02,65.38,46.67,30.89,59.99,68.60,48.27,69.07,55.40
2086,81.97,62.29,55.72,81.42,59.32,45.34,94.58,100.04,85.93,89.25,74.82
2087,69.78,56.95,51.27,66.14,64.31,36.76,74.71,78.26,67.04,79.51,58.46
2088,49.97,37.44,21.03,43.49,34.53,21.91,56.91,73.66,62.09,51.53,43.04
2089,68.75,57.20,52.76,71.64,55.32,38.27,74.70,78.30,66.17,73.14,63.13
2090,66.13,47.39,44.78,61.01,50.95,35.07,75.40,87.96,73.46,68.60,59.06
2091,55.91,39.12,33.80,51.42,41.65,27.49,61.36,82.79,62.33,55.77,47.51
2092,64.64,48.76,44.33,52.72,48.31,27.47,73.57,79.12,62.66,72.89,52.66
2093,74.31,66.70,61.76,68.53,62.40,50.77,78.81,76.73,66.47,89.44,68.30
2094,51.25,56.23,37.16,53.94,50.41,32.21,46.86,58.33,44.82,64.02,57.91
2095,60.54,51.25,40.66,58.98,42.08,22.57,67.36,71.24,58.49,68.14,54.91
2096,59.92,44.26,35.28,58.77,47.46,36.01,65.64,72.34,58.56,69.76,52.32
2097,58.44,53.41,40.73,71.71,47.03,37.38,60.41,71.77,53.43,62.85,65.70
2098,65.79,58.12,45.35,58.98,57.86,36.71,67.69,84.42,63.02,70.06,48.95
2099,74.29,60.01,51.83,71.40,67.50,38.69,78.79,90.77,74.22,83.70,60.32
2100,70.46,58.48,50.59,77.85,63.57,45.60,74.06,80.96,68.36,80.51,68.38
