Variable:,hi35
,Ghana,Ashanti,"Brong Ahafo",Central,Eastern,"Greater Accra",Northern,"Upper East","Upper West",Volta,Western
2015,49.41,23.51,18.29,30.21,25.20,11.80,63.64,74.80,62.07,52.25,25.54
2016,54.42,34.96,28.15,45.96,39.43,26.15,60.70,71.21,61.39,63.48,40.45
2017,36.86,17.77,14.06,29.96,18.36,7.75,44.03,67.21,40.33,37.34,21.82
2018,56.77,46.25,40.06,41.89,35.89,16.57,64.11,75.81,62.57,59.25,39.96
2019,58.04,41.50,40.28,44.05,41.65,21.54,67.20,80.98,69.85,59.52,41.75
2020,80.40,57.48,46.75,68.15,58.45,46.28,92.23,112.69,89.80,83.16,62.13
2021,65.69,47.92,36.90,55.47,51.95,31.05,69.71,90.81,63.31,76.26,52.96
2022,68.97,60.68,50.12,70.52,55.59,41.99,76.33,80.67,68.13,72.43,64.60
2023,64.03,60.04,48.50,52.87,53.89,25.23,64.62,71.41,55.13,77.29,56.32
2024,69.98,45.63,39.80,62.02,49.30,39.02,79.89,101.68,79.54,70.96,56.95
2025,80.36,55.16,50.73,71.00,57.66,41.29,90.70,110.12,88.92,87.89,62.91
2026,70.10,56.22,45.57,64.22,53.76,40.70,74.88,86.65,68.75,79.96,61.88
2027,79.77,73.89,65.88,76.05,72.17,48.21,80.02,91.77,73.43,87.12,70.14
2028,73.33,61.26,46.80,77.24,63.58,51.16,77.09,94.92,74.47,78.29,72.64
2029,62.53,52.18,46.33,58.10,51.98,38.18,63.39,81.10,64.79,66.67,47.76
2030,85.77,69.82,59.54,84.29,63.98,46.60,94.43,108.79,84.91,92.34,74.60
2031,99.32,87.31,76.07,108.96,88.55,74.95,104.82,108.61,93.01,108.68,97.53
2032,84.76,71.80,58.01,86.56,67.99,64.86,88.65,112.04,84.34,85.12,77.59
2033,84.10,60.00,49.25,69.49,57.22,38.07,96.03,125.08,102.29,81.63,65.06
2034,97.37,97.46,72.19,119.27,103.76,90.19,88.35,107.30,88.38,114.29,109.48
