Year,Region,Annualmaxdailytempforecast,Country
2092,Brong Ahafo,40.35,Ghana
2093,Brong Ahafo,40.09,Ghana
2094,Brong Ahafo,39.88,Ghana
2095,Brong Ahafo,40.09,Ghana
2096,Brong Ahafo,40.09,Ghana
2097,Brong Ahafo,40.17,Ghana
2098,Brong Ahafo,40.3,Ghana
2099,Brong Ahafo,40.06,Ghana
2100,Brong Ahafo,40.23,Ghana
2015,Central,34.55,Ghana
2016,Central,34.58,Ghana
2017,Central,34.64,Ghana
2018,Central,34.47,Ghana
2019,Central,34.85,Ghana
2020,Central,34.92,Ghana
2021,Central,34.92,Ghana
2022,Central,35.0,Ghana
2023,Central,34.75,Ghana
2024,Central,34.94,Ghana
2025,Central,35.17,Ghana
2026,Central,34.98,Ghana
2027,Central,35.19,Ghana
2028,Central,35.06,Ghana
2029,Central,35.0,Ghana
2030,Central,35.01,Ghana
2031,Central,35.16,Ghana
2032,Central,35.1,Ghana
2033,Central,35.15,Ghana
2034,Central,35.33,Ghana
2035,Central,35.1,Ghana
2036,Central,35.26,Ghana
2037,Central,35.33,Ghana
2038,Central,35.49,Ghana
2039,Central,35.3,Ghana
2040,Central,35.18,Ghana
2041,Central,35.49,Ghana
2042,Central,35.52,Ghana
2043,Central,35.64,Ghana
2044,Central,35.53,Ghana
2045,Central,35.18,Ghana
2046,Central,35.62,Ghana
2047,Central,35.56,Ghana
2048,Central,35.14,Ghana
2049,Central,35.52,Ghana
2050,Central,35.41,Ghana
2051,Central,35.59,Ghana
2052,Central,35.42,Ghana
2053,Central,35.37,Ghana
2054,Central,35.66,Ghana
2055,Central,35.58,Ghana
2056,Central,35.63,Ghana
2057,Central,35.58,Ghana
2058,Central,35.72,Ghana
2059,Central,35.63,Ghana
2060,Central,35.69,Ghana
2061,Central,35.48,Ghana
2062,Central,35.33,Ghana
2063,Central,35.73,Ghana
2064,Central,35.49,Ghana
2065,Central,35.52,Ghana
2066,Central,35.68,Ghana
2067,Central,35.76,Ghana
2068,Central,35.54,Ghana
2069,Central,35.79,Ghana
2070,Central,35.49,Ghana
2071,Central,35.47,Ghana
2072,Central,35.71,Ghana
2073,Central,35.63,Ghana
2074,Central,35.88,Ghana
2075,Central,35.23,Ghana
2076,Central,35.64,Ghana
2077,Central,35.54,Ghana
2078,Central,35.56,Ghana
2079,Central,35.51,Ghana
2080,Central,35.72,Ghana
2081,Central,35.59,Ghana
2082,Central,35.75,Ghana
2083,Central,35.53,Ghana
2084,Central,35.62,Ghana
2085,Central,35.47,Ghana
2086,Central,35.67,Ghana
2087,Central,35.49,Ghana
2088,Central,35.57,Ghana
2089,Central,35.24,Ghana
2090,Central,35.66,Ghana
2091,Central,35.72,Ghana
2092,Central,35.63,Ghana
2093,Central,35.4,Ghana
2094,Central,35.38,Ghana
2095,Central,35.4,Ghana
2096,Central,35.52,Ghana
2097,Central,35.71,Ghana
2098,Central,35.3,Ghana
2099,Central,35.4,Ghana
2100,Central,35.77,Ghana
2015,Eastern,36.66,Ghana
2016,Eastern,36.55,Ghana
2017,Eastern,36.53,Ghana
2018,Eastern,36.51,Ghana
2019,Eastern,36.66,Ghana
2020,Eastern,36.76,Ghana
2021,Eastern,36.97,Ghana
2022,Eastern,36.97,Ghana
2023,Eastern,36.61,Ghana
2024,Eastern,36.8,Ghana
2025,Eastern,36.96,Ghana
2026,Eastern,36.82,Ghana
2027,Eastern,36.97,Ghana
2028,Eastern,37.04,Ghana
2029,Eastern,37.04,Ghana
2030,Eastern,36.98,Ghana
2031,Eastern,37.05,Ghana
2032,Eastern,37.15,Ghana
2033,Eastern,37.03,Ghana
2034,Eastern,37.17,Ghana
2035,Eastern,36.99,Ghana
2036,Eastern,36.98,Ghana
2037,Eastern,37.29,Ghana
2038,Eastern,37.26,Ghana
2039,Eastern,37.14,Ghana
2040,Eastern,37.16,Ghana
2041,Eastern,37.23,Ghana
2042,Eastern,37.15,Ghana
2043,Eastern,37.55,Ghana
2044,Eastern,37.47,Ghana
2045,Eastern,37.14,Ghana
2046,Eastern,37.88,Ghana
2047,Eastern,37.68,Ghana
2048,Eastern,37.26,Ghana
2049,Eastern,37.56,Ghana
2050,Eastern,37.26,Ghana
2051,Eastern,37.49,Ghana
2052,Eastern,37.38,Ghana
2053,Eastern,37.48,Ghana
2054,Eastern,37.7,Ghana
2055,Eastern,37.4,Ghana
2056,Eastern,37.67,Ghana
2057,Eastern,37.42,Ghana
2058,Eastern,37.58,Ghana
2059,Eastern,37.37,Ghana
2060,Eastern,37.49,Ghana
2061,Eastern,37.4,Ghana
2062,Eastern,37.36,Ghana
2063,Eastern,37.56,Ghana
2064,Eastern,37.29,Ghana
2065,Eastern,37.48,Ghana
2066,Eastern,37.44,Ghana
2067,Eastern,37.67,Ghana
2068,Eastern,37.37,Ghana
2069,Eastern,37.53,Ghana
2070,Eastern,37.35,Ghana
2071,Eastern,37.57,Ghana
2072,Eastern,37.18,Ghana
2073,Eastern,37.55,Ghana
2074,Eastern,37.77,Ghana
2075,Eastern,37.22,Ghana
2076,Eastern,37.43,Ghana
2077,Eastern,37.45,Ghana
2078,Eastern,37.65,Ghana
2079,Eastern,37.53,Ghana
2080,Eastern,37.47,Ghana
2081,Eastern,37.5,Ghana
2082,Eastern,37.47,Ghana
2083,Eastern,37.4,Ghana
2084,Eastern,37.58,Ghana
2085,Eastern,37.52,Ghana
2086,Eastern,37.43,Ghana
2087,Eastern,37.24,Ghana
2088,Eastern,37.48,Ghana
2089,Eastern,37.15,Ghana
2090,Eastern,37.64,Ghana
2091,Eastern,37.41,Ghana
2092,Eastern,37.47,Ghana
2093,Eastern,37.25,Ghana
2094,Eastern,37.25,Ghana
2095,Eastern,37.24,Ghana
2096,Eastern,37.35,Ghana
2097,Eastern,37.62,Ghana
2098,Eastern,37.48,Ghana
2099,Eastern,37.41,Ghana
2100,Eastern,37.53,Ghana
2015,Greater Accra,32.76,Ghana
2016,Greater Accra,32.66,Ghana
2017,Greater Accra,32.64,Ghana
2018,Greater Accra,32.76,Ghana
2019,Greater Accra,32.99,Ghana
2020,Greater Accra,32.97,Ghana
2021,Greater Accra,32.98,Ghana
2022,Greater Accra,33.04,Ghana
2023,Greater Accra,32.93,Ghana
2024,Greater Accra,33.02,Ghana
2025,Greater Accra,33.28,Ghana
2026,Greater Accra,33.05,Ghana
2027,Greater Accra,33.11,Ghana
2028,Greater Accra,33.37,Ghana
2029,Greater Accra,33.26,Ghana
2030,Greater Accra,33.2,Ghana
2031,Greater Accra,33.32,Ghana
2032,Greater Accra,33.26,Ghana
2033,Greater Accra,33.3,Ghana
2034,Greater Accra,33.33,Ghana
2035,Greater Accra,33.24,Ghana
2036,Greater Accra,33.42,Ghana
2037,Greater Accra,33.38,Ghana
2038,Greater Accra,33.55,Ghana
2039,Greater Accra,33.29,Ghana
2040,Greater Accra,33.29,Ghana
2041,Greater Accra,33.31,Ghana
2042,Greater Accra,33.61,Ghana
2043,Greater Accra,33.78,Ghana
2044,Greater Accra,33.55,Ghana
