Year,Region,Annualmaxdailytempforecast,Country
2044,Western,36.27,Ghana
2045,Western,35.86,Ghana
2046,Western,36.21,Ghana
2047,Western,36.18,Ghana
2048,Western,35.97,Ghana
2049,Western,36.22,Ghana
2050,Western,36.06,Ghana
2051,Western,36.24,Ghana
2052,Western,36.23,Ghana
2053,Western,36.06,Ghana
2054,Western,36.3,Ghana
2055,Western,36.24,Ghana
2056,Western,36.25,Ghana
2057,Western,36.27,Ghana
2058,Western,36.43,Ghana
2059,Western,36.26,Ghana
2060,Western,36.52,Ghana
2061,Western,36.34,Ghana
2062,Western,36.21,Ghana
2063,Western,36.48,Ghana
2064,Western,36.15,Ghana
2065,Western,36.29,Ghana
2066,Western,36.19,Ghana
2067,Western,36.52,Ghana
2068,Western,36.24,Ghana
2069,Western,36.47,Ghana
2070,Western,36.17,Ghana
2071,Western,36.15,Ghana
2072,Western,36.28,Ghana
2073,Western,36.33,Ghana
2074,Western,36.57,Ghana
2075,Western,35.92,Ghana
2076,Western,36.42,Ghana
2077,Western,36.31,Ghana
2078,Western,36.33,Ghana
2079,Western,36.24,Ghana
2080,Western,36.08,Ghana
2081,Western,36.44,Ghana
2082,Western,36.42,Ghana
2083,Western,36.28,Ghana
2084,Western,36.23,Ghana
2085,Western,36.24,Ghana
2086,Western,36.34,Ghana
2087,Western,36.32,Ghana
2088,Western,36.26,Ghana
2089,Western,35.94,Ghana
2090,Western,36.23,Ghana
2091,Western,36.28,Ghana
2092,Western,36.41,Ghana
2093,Western,36.15,Ghana
2094,Western,36.05,Ghana
2095,Western,36.02,Ghana
2096,Western,36.24,Ghana
2097,Western,36.26,Ghana
2098,Western,36.08,Ghana
2099,Western,36.09,Ghana
2100,Western,36.3,Ghana
