Year,Region,AnnualForecastedPrecip(mm),Country
2085,Brong Ahafo,1220.78,Ghana
2086,Brong Ahafo,1298.41,Ghana
2087,Brong Ahafo,1298.71,Ghana
2088,Brong Ahafo,1242.41,Ghana
2089,Brong Ahafo,1244.16,Ghana
2090,Brong Ahafo,1316.77,Ghana
2091,Brong Ahafo,1288.44,Ghana
2092,Brong Ahafo,1224.27,Ghana
2093,Brong Ahafo,1319.99,Ghana
2094,Brong Ahafo,1343.45,Ghana
2095,Brong Ahafo,1261.17,Ghana
2096,Brong Ahafo,1285.32,Ghana
2097,Brong Ahafo,1239.55,Ghana
2098,Brong Ahafo,1348.66,Ghana
2099,Brong Ahafo,1312.85,Ghana
2100,Brong Ahafo,1287.31,Ghana
2015,Central,1261.98,Ghana
2016,Central,1192.15,Ghana
2017,Central,1201.88,Ghana
2018,Central,1185.11,Ghana
2019,Central,1207.19,Ghana
2020,Central,1099.23,Ghana
2021,Central,1215.54,Ghana
2022,Central,1229.53,Ghana
2023,Central,1222.16,Ghana
2024,Central,1232.64,Ghana
2025,Central,1242.59,Ghana
2026,Central,1233.92,Ghana
2027,Central,1233.94,Ghana
2028,Central,1232.53,Ghana
2029,Central,1310.26,Ghana
2030,Central,1213.8,Ghana
2031,Central,1266.31,Ghana
2032,Central,1175.16,Ghana
2033,Central,1211.71,Ghana
2034,Central,1177.5,Ghana
2035,Central,1238.09,Ghana
2036,Central,1253.59,Ghana
2037,Central,1108.14,Ghana
2038,Central,1248.17,Ghana
2039,Central,1369.52,Ghana
2040,Central,1278.58,Ghana
2041,Central,1250.9,Ghana
2042,Central,1252.8,Ghana
2043,Central,1283.36,Ghana
2044,Central,1276.85,Ghana
2045,Central,1241.75,Ghana
2046,Central,1238.17,Ghana
2047,Central,1185.04,Ghana
2048,Central,1314.16,Ghana
2049,Central,1130.96,Ghana
2050,Central,1221.17,Ghana
2051,Central,1275.87,Ghana
2052,Central,1258.17,Ghana
2053,Central,1235.26,Ghana
2054,Central,1135.29,Ghana
2055,Central,1143.47,Ghana
2056,Central,1134.97,Ghana
2057,Central,1252.87,Ghana
2058,Central,1232.31,Ghana
2059,Central,1236.88,Ghana
2060,Central,1290.3,Ghana
2061,Central,1270.02,Ghana
2062,Central,1212.18,Ghana
2063,Central,1317.84,Ghana
2064,Central,1307.31,Ghana
2065,Central,1310.99,Ghana
2066,Central,1275.14,Ghana
2067,Central,1290.87,Ghana
2068,Central,1192.1,Ghana
2069,Central,1269.1,Ghana
2070,Central,1257.63,Ghana
2071,Central,1256.05,Ghana
2072,Central,1253.71,Ghana
2073,Central,1251.53,Ghana
2074,Central,1125.51,Ghana
