Year,Region,AnnualForecastedPrecip(mm),Country
2087,Volta,1224.59,Ghana
2088,Volta,1195.45,Ghana
2089,Volta,1178.23,Ghana
2090,Volta,1259.16,Ghana
2091,Volta,1209.03,Ghana
2092,Volta,1234.78,Ghana
2093,Volta,1299.26,Ghana
2094,Volta,1269.57,Ghana
2095,Volta,1224.88,Ghana
2096,Volta,1209.44,Ghana
2097,Volta,1251.46,Ghana
2098,Volta,1288.75,Ghana
2099,Volta,1247.52,Ghana
2100,Volta,1275.68,Ghana
2015,Western,1319.28,Ghana
2016,Western,1298.43,Ghana
2017,Western,1304.63,Ghana
2018,Western,1329.24,Ghana
2019,Western,1302.36,Ghana
2020,Western,1219.79,Ghana
2021,Western,1266.61,Ghana
2022,Western,1288.88,Ghana
2023,Western,1323.71,Ghana
2024,Western,1362.0,Ghana
2025,Western,1343.42,Ghana
2026,Western,1330.97,Ghana
2027,Western,1321.45,Ghana
2028,Western,1405.56,Ghana
2029,Western,1368.07,Ghana
2030,Western,1325.26,Ghana
2031,Western,1403.97,Ghana
2032,Western,1254.51,Ghana
2033,Western,1352.18,Ghana
2034,Western,1271.71,Ghana
2035,Western,1352.38,Ghana
2036,Western,1330.37,Ghana
2037,Western,1240.09,Ghana
2038,Western,1303.21,Ghana
2039,Western,1401.21,Ghana
2040,Western,1390.09,Ghana
2041,Western,1347.04,Ghana
2042,Western,1341.23,Ghana
2043,Western,1391.41,Ghana
2044,Western,1374.5,Ghana
2045,Western,1317.02,Ghana
2046,Western,1330.01,Ghana
2047,Western,1341.25,Ghana
2048,Western,1421.73,Ghana
2049,Western,1289.48,Ghana
2050,Western,1313.71,Ghana
2051,Western,1371.79,Ghana
2052,Western,1322.65,Ghana
2053,Western,1407.18,Ghana
2054,Western,1200.63,Ghana
2055,Western,1286.31,Ghana
2056,Western,1247.95,Ghana
2057,Western,1326.0,Ghana
2058,Western,1325.85,Ghana
2059,Western,1312.52,Ghana
2060,Western,1396.68,Ghana
2061,Western,1374.94,Ghana
2062,Western,1323.74,Ghana
2063,Western,1380.47,Ghana
2064,Western,1394.72,Ghana
2065,Western,1389.2,Ghana
2066,Western,1347.03,Ghana
2067,Western,1346.46,Ghana
2068,Western,1313.77,Ghana
2069,Western,1377.96,Ghana
2070,Western,1365.94,Ghana
2071,Western,1338.98,Ghana
2072,Western,1349.45,Ghana
2073,Western,1377.31,Ghana
2074,Western,1286.44,Ghana
2075,Western,1394.71,Ghana
2076,Western,1375.58,Ghana
2077,Western,1314.66,Ghana
2078,Western,1255.13,Ghana
2079,Western,1253.98,Ghana
2080,Western,1363.69,Ghana
2081,Western,1297.82,Ghana
2082,Western,1300.99,Ghana
2083,Western,1344.83,Ghana
2084,Western,1365.88,Ghana
2085,Western,1388.48,Ghana
2086,Western,1322.02,Ghana
2087,Western,1357.99,Ghana
2088,Western,1283.88,Ghana
2089,Western,1302.91,Ghana
2090,Western,1340.15,Ghana
2091,Western,1365.27,Ghana
2092,Western,1305.26,Ghana
2093,Western,1390.7,Ghana
2094,Western,1349.27,Ghana
2095,Western,1317.43,Ghana
2096,Western,1322.19,Ghana
2097,Western,1373.86,Ghana
2098,Western,1471.11,Ghana
2099,Western,1388.05,Ghana
2100,Western,1393.46,Ghana
