Year,Region,Annualmeantempforecast,Country
2045,Western,27.71,Ghana
2046,Western,27.85,Ghana
2047,Western,27.84,Ghana
2048,Western,27.9,Ghana
2049,Western,27.84,Ghana
2050,Western,28.0,Ghana
2051,Western,28.08,Ghana
2052,Western,27.78,Ghana
2053,Western,27.84,Ghana
2054,Western,27.92,Ghana
2055,Western,27.78,Ghana
2056,Western,27.89,Ghana
2057,Western,27.86,Ghana
2058,Western,27.87,Ghana
2059,Western,28.01,Ghana
2060,Western,28.01,Ghana
2061,Western,27.86,Ghana
2062,Western,27.81,Ghana
2063,Western,27.97,Ghana
2064,Western,27.93,Ghana
2065,Western,27.89,Ghana
2066,Western,28.03,Ghana
2067,Western,27.86,Ghana
2068,Western,27.94,Ghana
2069,Western,27.9,Ghana
2070,Western,27.98,Ghana
2071,Western,27.87,Ghana
2072,Western,27.83,Ghana
2073,Western,27.91,Ghana
2074,Western,27.97,Ghana
2075,Western,27.95,Ghana
2076,Western,27.88,Ghana
2077,Western,27.98,Ghana
2078,Western,28.06,Ghana
2079,Western,27.97,Ghana
2080,Western,27.88,Ghana
2081,Western,27.97,Ghana
2082,Western,28.04,Ghana
2083,Western,27.84,Ghana
2084,Western,27.85,Ghana
2085,Western,27.82,Ghana
2086,Western,27.89,Ghana
2087,Western,27.86,Ghana
2088,Western,27.88,Ghana
2089,Western,27.73,Ghana
2090,Western,27.8,Ghana
2091,Western,27.99,Ghana
2092,Western,27.78,Ghana
2093,Western,27.81,Ghana
2094,Western,27.8,Ghana
2095,Western,27.89,Ghana
2096,Western,27.69,Ghana
2097,Western,27.87,Ghana
2098,Western,27.93,Ghana
2099,Western,27.99,Ghana
2100,Western,27.83,Ghana
