Year,Region,AnnualForecastedDrought(SPEI Index),Country
2034,Western,0.01,Ghana
2035,Western,0.0,Ghana
2036,Western,0.0,Ghana
2037,Western,-0.04,Ghana
2038,Western,-0.15,Ghana
2039,Western,0.0,Ghana
2040,Western,0.0,Ghana
2041,Western,0.0,Ghana
2042,Western,0.0,Ghana
2043,Western,-0.03,Ghana
2044,Western,-0.05,Ghana
2045,Western,0.0,Ghana
2046,Western,0.0,Ghana
2047,Western,0.0,Ghana
2048,Western,0.0,Ghana
2049,Western,0.0,Ghana
2050,Western,0.0,Ghana
2051,Western,0.0,Ghana
2052,Western,-0.09,Ghana
2053,Western,0.01,Ghana
2054,Western,0.01,Ghana
2055,Western,0.0,Ghana
2056,Western,0.0,Ghana
2057,Western,0.0,Ghana
2058,Western,-0.0,Ghana
2059,Western,0.0,Ghana
2060,Western,0.0,Ghana
2061,Western,0.0,Ghana
2062,Western,0.0,Ghana
2063,Western,0.0,Ghana
2064,Western,0.0,Ghana
2065,Western,0.07,Ghana
2066,Western,0.03,Ghana
2067,Western,0.0,Ghana
2068,Western,0.0,Ghana
2069,Western,0.0,Ghana
2070,Western,-0.01,Ghana
2071,Western,0.0,Ghana
2072,Western,0.0,Ghana
2073,Western,0.0,Ghana
2074,Western,0.0,Ghana
2075,Western,0.0,Ghana
2076,Western,0.0,Ghana
2077,Western,0.0,Ghana
2078,Western,0.0,Ghana
2079,Western,-0.0,Ghana
2080,Western,0.0,Ghana
2081,Western,0.0,Ghana
2082,Western,0.0,Ghana
2083,Western,0.0,Ghana
2084,Western,0.0,Ghana
2085,Western,0.0,Ghana
2086,Western,0.0,Ghana
2087,Western,0.0,Ghana
2088,Western,0.0,Ghana
2089,Western,0.0,Ghana
2090,Western,-0.0,Ghana
2091,Western,0.0,Ghana
2092,Western,0.0,Ghana
2093,Western,0.0,Ghana
2094,Western,-0.0,Ghana
2095,Western,-0.0,Ghana
2096,Western,0.01,Ghana
2097,Western,-0.0,Ghana
2098,Western,0.0,Ghana
2099,Western,0.04,Ghana
2100,Western,0.0,Ghana
