Year,Region,AnnualForecastedDrought(SPEI Index),Country
2090,Brong Ahafo,0.0,Ghana
2091,Brong Ahafo,0.0,Ghana
2092,Brong Ahafo,0.0,Ghana
2093,Brong Ahafo,0.0,Ghana
2094,Brong Ahafo,-0.21,Ghana
2095,Brong Ahafo,-0.16,Ghana
2096,Brong Ahafo,0.0,Ghana
2097,Brong Ahafo,-0.02,Ghana
2098,Brong Ahafo,0.0,Ghana
2099,Brong Ahafo,0.0,Ghana
2100,Brong Ahafo,0.0,Ghana
2015,Central,0.0,Ghana
2016,Central,0.0,Ghana
2017,Central,-0.0,Ghana
2018,Central,0.0,Ghana
2019,Central,0.0,Ghana
2020,Central,-0.08,Ghana
2021,Central,0.0,Ghana
2022,Central,0.0,Ghana
2023,Central,0.0,Ghana
2024,Central,0.0,Ghana
2025,Central,0.0,Ghana
2026,Central,0.0,Ghana
2027,Central,0.0,Ghana
2028,Central,0.0,Ghana
2029,Central,0.0,Ghana
2030,Central,0.0,Ghana
2031,Central,-0.01,Ghana
2032,Central,0.0,Ghana
2033,Central,0.0,Ghana
2034,Central,0.0,Ghana
2035,Central,0.0,Ghana
2036,Central,0.0,Ghana
2037,Central,-0.0,Ghana
2038,Central,-0.01,Ghana
2039,Central,0.0,Ghana
2040,Central,0.0,Ghana
2041,Central,0.0,Ghana
2042,Central,0.0,Ghana
2043,Central,-0.01,Ghana
2044,Central,-0.01,Ghana
2045,Central,0.0,Ghana
2046,Central,0.0,Ghana
2047,Central,0.0,Ghana
2048,Central,0.0,Ghana
2049,Central,0.0,Ghana
2050,Central,0.0,Ghana
2051,Central,0.0,Ghana
2052,Central,-0.02,Ghana
2053,Central,0.0,Ghana
2054,Central,0.0,Ghana
2055,Central,0.0,Ghana
2056,Central,0.0,Ghana
2057,Central,0.0,Ghana
2058,Central,-0.0,Ghana
2059,Central,0.03,Ghana
2060,Central,0.0,Ghana
2061,Central,0.0,Ghana
2062,Central,0.0,Ghana
2063,Central,0.0,Ghana
2064,Central,0.0,Ghana
2065,Central,0.08,Ghana
2066,Central,0.06,Ghana
2067,Central,0.0,Ghana
2068,Central,0.04,Ghana
2069,Central,0.0,Ghana
2070,Central,-0.0,Ghana
2071,Central,0.0,Ghana
2072,Central,0.0,Ghana
2073,Central,0.0,Ghana
2074,Central,0.0,Ghana
2075,Central,0.0,Ghana
2076,Central,0.0,Ghana
2077,Central,0.0,Ghana
2078,Central,0.0,Ghana
2079,Central,-0.0,Ghana
2080,Central,0.0,Ghana
2081,Central,0.0,Ghana
2082,Central,0.0,Ghana
2083,Central,0.0,Ghana
2084,Central,0.0,Ghana
2085,Central,0.0,Ghana
2086,Central,0.0,Ghana
2087,Central,0.0,Ghana
2088,Central,0.0,Ghana
2089,Central,0.0,Ghana
2090,Central,0.0,Ghana
2091,Central,0.0,Ghana
2092,Central,0.0,Ghana
2093,Central,0.0,Ghana
2094,Central,-0.0,Ghana
2095,Central,0.0,Ghana
2096,Central,0.02,Ghana
2097,Central,-0.0,Ghana
2098,Central,0.0,Ghana
2099,Central,0.0,Ghana
2100,Central,0.0,Ghana
2015,Eastern,0.0,Ghana
2016,Eastern,0.0,Ghana
2017,Eastern,-0.14,Ghana
2018,Eastern,0.0,Ghana
2019,Eastern,0.0,Ghana
2020,Eastern,-0.07,Ghana
2021,Eastern,0.0,Ghana
2022,Eastern,-0.01,Ghana
2023,Eastern,0.0,Ghana
2024,Eastern,0.0,Ghana
2025,Eastern,0.0,Ghana
2026,Eastern,0.0,Ghana
2027,Eastern,0.0,Ghana
2028,Eastern,0.0,Ghana
2029,Eastern,0.0,Ghana
2030,Eastern,0.0,Ghana
2031,Eastern,-0.15,Ghana
2032,Eastern,-0.02,Ghana
2033,Eastern,0.0,Ghana
2034,Eastern,0.0,Ghana
2035,Eastern,0.0,Ghana
2036,Eastern,0.0,Ghana
2037,Eastern,0.0,Ghana
2038,Eastern,-0.0,Ghana
2039,Eastern,0.0,Ghana
2040,Eastern,0.0,Ghana
2041,Eastern,0.0,Ghana
2042,Eastern,0.0,Ghana
2043,Eastern,-0.0,Ghana
2044,Eastern,0.0,Ghana
2045,Eastern,0.0,Ghana
2046,Eastern,0.0,Ghana
2047,Eastern,0.0,Ghana
2048,Eastern,0.0,Ghana
2049,Eastern,0.0,Ghana
2050,Eastern,0.0,Ghana
2051,Eastern,0.0,Ghana
2052,Eastern,-0.19,Ghana
2053,Eastern,0.0,Ghana
2054,Eastern,0.0,Ghana
2055,Eastern,0.0,Ghana
2056,Eastern,0.0,Ghana
2057,Eastern,0.0,Ghana
2058,Eastern,-0.0,Ghana
2059,Eastern,0.01,Ghana
