Year,Region,Annualmindailytempforecast,Country
2048,Western,20.89,Ghana
2049,Western,20.96,Ghana
2050,Western,21.04,Ghana
2051,Western,20.77,Ghana
2052,Western,20.72,Ghana
2053,Western,20.8,Ghana
2054,Western,20.93,Ghana
2055,Western,20.74,Ghana
2056,Western,20.56,Ghana
2057,Western,20.53,Ghana
2058,Western,20.86,Ghana
2059,Western,20.58,Ghana
2060,Western,20.74,Ghana
2061,Western,20.92,Ghana
2062,Western,20.94,Ghana
2063,Western,20.78,Ghana
2064,Western,21.03,Ghana
2065,Western,20.63,Ghana
2066,Western,20.86,Ghana
2067,Western,20.99,Ghana
2068,Western,20.51,Ghana
2069,Western,20.83,Ghana
2070,Western,20.72,Ghana
2071,Western,21.05,Ghana
2072,Western,20.8,Ghana
2073,Western,20.84,Ghana
2074,Western,20.76,Ghana
2075,Western,20.98,Ghana
2076,Western,20.57,Ghana
2077,Western,20.82,Ghana
2078,Western,20.71,Ghana
2079,Western,20.7,Ghana
2080,Western,20.87,Ghana
2081,Western,21.03,Ghana
2082,Western,20.79,Ghana
2083,Western,20.53,Ghana
2084,Western,20.63,Ghana
2085,Western,20.54,Ghana
2086,Western,20.81,Ghana
2087,Western,20.73,Ghana
2088,Western,20.79,Ghana
2089,Western,20.75,Ghana
2090,Western,20.92,Ghana
2091,Western,20.8,Ghana
2092,Western,20.83,Ghana
2093,Western,21.04,Ghana
2094,Western,20.72,Ghana
2095,Western,20.63,Ghana
2096,Western,20.57,Ghana
2097,Western,20.7,Ghana
2098,Western,20.57,Ghana
2099,Western,20.97,Ghana
2100,Western,20.76,Ghana
