Year,Region,AnnualForecastedDryDays,Country
2079,Central,34.88,Ghana
2080,Central,29.06,Ghana
2081,Central,35.17,Ghana
2082,Central,28.24,Ghana
2083,Central,30.66,Ghana
2084,Central,32.69,Ghana
2085,Central,24.15,Ghana
2086,Central,27.17,Ghana
2087,Central,37.03,Ghana
2088,Central,36.69,Ghana
2089,Central,29.81,Ghana
2090,Central,35.77,Ghana
2091,Central,30.26,Ghana
2092,Central,33.47,Ghana
2093,Central,25.96,Ghana
2094,Central,28.33,Ghana
2095,Central,27.1,Ghana
2096,Central,36.82,Ghana
2097,Central,26.4,Ghana
2098,Central,31.85,Ghana
2099,Central,29.0,Ghana
2100,Central,36.03,Ghana
2015,Eastern,33.34,Ghana
2016,Eastern,42.22,Ghana
2017,Eastern,37.75,Ghana
2018,Eastern,41.74,Ghana
2019,Eastern,40.18,Ghana
2020,Eastern,33.18,Ghana
2021,Eastern,34.03,Ghana
2022,Eastern,36.63,Ghana
2023,Eastern,36.66,Ghana
2024,Eastern,36.3,Ghana
2025,Eastern,41.8,Ghana
2026,Eastern,38.63,Ghana
2027,Eastern,40.56,Ghana
2028,Eastern,33.25,Ghana
2029,Eastern,40.35,Ghana
2030,Eastern,49.04,Ghana
2031,Eastern,39.74,Ghana
2032,Eastern,32.5,Ghana
2033,Eastern,38.71,Ghana
2034,Eastern,48.03,Ghana
2035,Eastern,38.46,Ghana
2036,Eastern,34.27,Ghana
2037,Eastern,38.53,Ghana
2038,Eastern,37.35,Ghana
2039,Eastern,33.69,Ghana
2040,Eastern,38.33,Ghana
2041,Eastern,34.24,Ghana
2042,Eastern,33.4,Ghana
2043,Eastern,38.95,Ghana
2044,Eastern,43.72,Ghana
2045,Eastern,37.07,Ghana
2046,Eastern,38.46,Ghana
2047,Eastern,46.92,Ghana
2048,Eastern,33.81,Ghana
2049,Eastern,33.9,Ghana
2050,Eastern,33.12,Ghana
2051,Eastern,43.45,Ghana
2052,Eastern,30.19,Ghana
2053,Eastern,39.72,Ghana
2054,Eastern,38.75,Ghana
2055,Eastern,36.89,Ghana
2056,Eastern,45.96,Ghana
2057,Eastern,38.5,Ghana
2058,Eastern,45.37,Ghana
2059,Eastern,35.54,Ghana
2060,Eastern,43.63,Ghana
2061,Eastern,39.55,Ghana
2062,Eastern,32.75,Ghana
2063,Eastern,40.58,Ghana
2064,Eastern,33.93,Ghana
2065,Eastern,35.27,Ghana
2066,Eastern,44.85,Ghana
2067,Eastern,41.88,Ghana
2068,Eastern,36.0,Ghana
2069,Eastern,44.85,Ghana
2070,Eastern,30.71,Ghana
2071,Eastern,38.75,Ghana
2072,Eastern,36.81,Ghana
2073,Eastern,42.64,Ghana
2074,Eastern,41.74,Ghana
2075,Eastern,33.67,Ghana
2076,Eastern,42.29,Ghana
2077,Eastern,37.23,Ghana
2078,Eastern,40.19,Ghana
2079,Eastern,37.5,Ghana
2080,Eastern,35.41,Ghana
2081,Eastern,45.09,Ghana
2082,Eastern,44.4,Ghana
2083,Eastern,36.05,Ghana
2084,Eastern,35.87,Ghana
2085,Eastern,27.18,Ghana
2086,Eastern,35.84,Ghana
2087,Eastern,42.01,Ghana
2088,Eastern,46.46,Ghana
2089,Eastern,34.76,Ghana
2090,Eastern,38.99,Ghana
2091,Eastern,32.5,Ghana
2092,Eastern,38.05,Ghana
2093,Eastern,33.39,Ghana
2094,Eastern,42.38,Ghana
2095,Eastern,39.61,Ghana
2096,Eastern,45.65,Ghana
2097,Eastern,35.36,Ghana
2098,Eastern,40.25,Ghana
2099,Eastern,34.84,Ghana
2100,Eastern,38.42,Ghana
2015,Greater Accra,40.72,Ghana
2016,Greater Accra,45.17,Ghana
2017,Greater Accra,40.62,Ghana
2018,Greater Accra,41.69,Ghana
2019,Greater Accra,46.89,Ghana
2020,Greater Accra,36.29,Ghana
2021,Greater Accra,48.64,Ghana
2022,Greater Accra,42.22,Ghana
2023,Greater Accra,41.8,Ghana
2024,Greater Accra,38.54,Ghana
2025,Greater Accra,39.78,Ghana
2026,Greater Accra,37.48,Ghana
2027,Greater Accra,41.83,Ghana
2028,Greater Accra,45.05,Ghana
2029,Greater Accra,38.91,Ghana
2030,Greater Accra,47.37,Ghana
2031,Greater Accra,42.1,Ghana
2032,Greater Accra,38.94,Ghana
2033,Greater Accra,42.06,Ghana
2034,Greater Accra,43.14,Ghana
2035,Greater Accra,39.35,Ghana
2036,Greater Accra,37.58,Ghana
2037,Greater Accra,43.77,Ghana
2038,Greater Accra,45.18,Ghana
2039,Greater Accra,45.08,Ghana
2040,Greater Accra,36.57,Ghana
2041,Greater Accra,36.4,Ghana
2042,Greater Accra,41.11,Ghana
2043,Greater Accra,39.96,Ghana
2044,Greater Accra,40.8,Ghana
2045,Greater Accra,39.93,Ghana
2046,Greater Accra,37.63,Ghana
2047,Greater Accra,42.32,Ghana
2048,Greater Accra,33.53,Ghana
2049,Greater Accra,40.55,Ghana
2050,Greater Accra,35.57,Ghana
2051,Greater Accra,44.72,Ghana
2052,Greater Accra,39.42,Ghana
2053,Greater Accra,40.48,Ghana
2054,Greater Accra,42.89,Ghana
2055,Greater Accra,46.07,Ghana
2056,Greater Accra,42.92,Ghana
2057,Greater Accra,42.87,Ghana
2058,Greater Accra,47.66,Ghana
2059,Greater Accra,38.59,Ghana
2060,Greater Accra,42.09,Ghana
2061,Greater Accra,39.58,Ghana
2062,Greater Accra,35.22,Ghana
2063,Greater Accra,45.58,Ghana
2064,Greater Accra,38.28,Ghana
2065,Greater Accra,41.49,Ghana
2066,Greater Accra,44.17,Ghana
2067,Greater Accra,42.45,Ghana
2068,Greater Accra,37.44,Ghana
2069,Greater Accra,49.68,Ghana
2070,Greater Accra,35.67,Ghana
2071,Greater Accra,40.8,Ghana
2072,Greater Accra,37.52,Ghana
2073,Greater Accra,45.95,Ghana
2074,Greater Accra,44.38,Ghana
2075,Greater Accra,42.71,Ghana
2076,Greater Accra,41.39,Ghana
2077,Greater Accra,40.65,Ghana
2078,Greater Accra,39.38,Ghana
2079,Greater Accra,40.8,Ghana
2080,Greater Accra,33.79,Ghana
2081,Greater Accra,40.61,Ghana
2082,Greater Accra,45.41,Ghana
2083,Greater Accra,41.81,Ghana
2084,Greater Accra,39.88,Ghana
2085,Greater Accra,35.78,Ghana
2086,Greater Accra,37.38,Ghana
2087,Greater Accra,44.35,Ghana
2088,Greater Accra,44.95,Ghana
2089,Greater Accra,39.81,Ghana
2090,Greater Accra,42.07,Ghana
2091,Greater Accra,42.48,Ghana
2092,Greater Accra,38.44,Ghana
2093,Greater Accra,36.23,Ghana
2094,Greater Accra,41.66,Ghana
2095,Greater Accra,37.61,Ghana
2096,Greater Accra,50.5,Ghana
2097,Greater Accra,37.78,Ghana
2098,Greater Accra,49.31,Ghana
2099,Greater Accra,38.77,Ghana
2100,Greater Accra,44.55,Ghana
2015,Northern,55.76,Ghana
2016,Northern,89.36,Ghana
2017,Northern,91.94,Ghana
2018,Northern,90.93,Ghana
2019,Northern,92.68,Ghana
2020,Northern,88.44,Ghana
2021,Northern,92.46,Ghana
2022,Northern,87.83,Ghana
2023,Northern,92.99,Ghana
2024,Northern,89.03,Ghana
2025,Northern,90.3,Ghana
2026,Northern,98.39,Ghana
2027,Northern,88.07,Ghana
2028,Northern,90.04,Ghana
2029,Northern,95.73,Ghana
2030,Northern,94.2,Ghana
2031,Northern,93.15,Ghana
2032,Northern,88.42,Ghana
2033,Northern,93.13,Ghana
2034,Northern,90.03,Ghana
2035,Northern,92.63,Ghana
2036,Northern,99.1,Ghana
2037,Northern,90.66,Ghana
2038,Northern,91.4,Ghana
2039,Northern,98.31,Ghana
2040,Northern,91.43,Ghana
2041,Northern,92.14,Ghana
2042,Northern,88.96,Ghana
2043,Northern,88.36,Ghana
2044,Northern,97.64,Ghana
2045,Northern,96.26,Ghana
2046,Northern,94.16,Ghana
2047,Northern,91.59,Ghana
2048,Northern,87.1,Ghana
2049,Northern,86.97,Ghana
2050,Northern,89.85,Ghana
2051,Northern,96.62,Ghana
2052,Northern,98.65,Ghana
2053,Northern,92.69,Ghana
2054,Northern,98.47,Ghana
2055,Northern,93.07,Ghana
2056,Northern,95.2,Ghana
2057,Northern,96.56,Ghana
2058,Northern,94.52,Ghana
2059,Northern,93.71,Ghana
2060,Northern,96.11,Ghana
2061,Northern,105.0,Ghana
2062,Northern,93.8,Ghana
2063,Northern,98.68,Ghana
2064,Northern,93.05,Ghana
2065,Northern,96.26,Ghana
2066,Northern,87.97,Ghana
2067,Northern,96.48,Ghana
2068,Northern,100.94,Ghana
2069,Northern,99.76,Ghana
2070,Northern,85.89,Ghana
2071,Northern,98.28,Ghana
2072,Northern,96.25,Ghana
2073,Northern,96.29,Ghana
2074,Northern,90.24,Ghana
2075,Northern,94.51,Ghana
2076,Northern,90.74,Ghana
2077,Northern,100.32,Ghana
2078,Northern,90.21,Ghana
2079,Northern,90.61,Ghana
2080,Northern,99.34,Ghana
2081,Northern,90.93,Ghana
2082,Northern,89.23,Ghana
2083,Northern,95.52,Ghana
2084,Northern,92.85,Ghana
